id,lat,lon,num_cages
2,38.7571124,20.77905737,40
3,37.80597921,23.24437435,18
4,37.81984458,23.253567,18
8,35.2547819,26.22305403,24
10,38.66719468,23.11157985,14
12,38.6746436,23.10475473,26
13,38.6792612,23.11239141,28
18,36.56434636,26.39523304,6
20,36.93292586,27.1568474,22
21,36.93849539,27.16210412,14
24,37.01857579,26.95112877,2
26,38.7544418,20.77540035,22
27,37.20841662,26.7976525,0
28,38.35730751,21.04374495,25
32,37.03845071,26.92561187,24
35,37.08829415,26.88734222,0
36,37.46581407,26.99967894,0
39,38.43325436,21.03050501,4
40,38.42829774,21.02751294,6
42,38.30283087,21.10207306,24
48,38.31671592,21.11270327,44
49,38.29188443,21.10459087,37
51,38.22025097,21.71775447,200
52,38.25720747,22.09140508,96
53,39.6906655,20.01121367,40
55,39.68967322,20.01452682,69
58,39.68584324,20.01226613,23
60,39.6772586,20.02646243,13
65,39.67873439,20.03371599,16
68,39.68134571,20.0443873,20
71,39.68095985,20.05048822,4
72,39.67666719,20.06235068,12
73,39.67179703,20.06682222,8
74,39.67173038,20.07240335,11
77,37.47632238,23.03192234,60
79,37.47886515,23.04027864,24
80,37.47467782,23.04535102,18
82,37.4626899,23.04785486,9
84,37.45342434,23.05045479,8
86,37.44955177,23.06620329,22
87,37.38853609,23.06193436,15
92,37.38534653,23.06567526,20
93,37.35056311,23.07113659,28
96,37.4901778,22.93677158,7
98,39.66846918,20.08368703,12
99,39.66846918,20.08368704,2
101,37.49449351,22.933143,18
103,37.4960703,22.9272471,24
105,37.49871286,22.9221778,42
106,37.50183415,22.9171628,7
107,37.34847309,23.35252361,16
110,37.26770578,23.27865976,26
112,37.51934494,23.41098615,24
113,37.54815129,23.47980131,30
116,37.53547972,23.47329049,0
117,37.53509134,23.46613276,0
120,39.6671605,20.08937316,23
121,37.55697022,23.36922961,0
122,37.55966271,23.36097118,0
123,37.61150175,23.30894492,12
124,37.61110402,23.31696416,7
125,37.5712893,23.35869661,36
127,37.70632337,23.17024885,12
131,37.7132394,23.17535424,14
134,37.71818554,23.17633928,23
136,37.71601903,23.16689412,12
137,37.71497711,23.15996723,17
139,39.66385209,20.0918705,16
143,37.71945026,23.15184606,19
146,37.72284064,23.14582455,18
148,37.73101601,23.12380976,24
153,37.73845986,23.12758154,20
157,37.76118267,23.15593517,24
161,37.76525639,23.16048279,62
162,37.75868703,23.17220376,10
165,37.77574305,23.17693259,24
167,37.79696205,23.1773209,12
169,37.8054287,23.17515121,16
173,39.6596338,20.0873588,14
175,37.81825809,23.15858431,28
176,37.84520459,23.08653064,35
179,37.84085063,23.06470269,16
180,37.84548872,23.05598535,25
181,37.8457015,23.04894114,16
183,37.955456,23.42381267,20
186,37.86604151,23.08384511,31
187,37.92783605,23.41557618,22
192,37.89117058,23.41154634,27
196,37.88964436,23.42044605,28
199,39.66285305,20.0979875,16
200,37.65767332,23.94582274,17
205,37.65945767,23.95389161,18
207,37.65232404,23.96093853,14
209,38.20961702,24.04978004,16
211,38.51758463,23.33370745,2
212,38.51824965,23.34759019,37
216,38.53783311,23.35047922,30
218,38.54332081,23.32870105,8
219,38.55074524,23.32495759,48
221,38.56872914,23.31242587,50
223,39.65427424,20.0920453,14
225,38.5830941,23.30807581,40
226,38.58789181,23.31360026,50
228,38.59716563,23.33063908,20
230,38.60185933,23.3392895,48
231,38.65048996,23.1549844,29
233,38.63892745,23.11778666,52
237,38.6475071,23.11071051,25
238,38.64985489,23.10433177,27
239,38.66460796,23.08814742,15
243,38.67646263,23.08800138,25
247,39.65685896,20.10515424,18
248,38.89005527,22.83510454,30
251,38.91963916,22.89565143,26
252,38.9042784,22.83918534,11
255,38.92050266,22.90693892,20
256,38.91902502,22.91433159,24
257,38.92018346,22.92130597,12
259,39.11868438,22.95786169,18
260,39.12271851,23.15415748,18
261,38.87922758,22.9012711,22
264,38.88674988,22.91583043,16
266,39.65330217,20.10592554,14
269,38.89232413,22.93579732,50
270,38.89850858,22.94789964,15
272,38.89992458,22.95395173,29
275,38.90044086,22.95836612,32
279,38.90194027,22.96358733,12
282,38.90763397,22.98611407,46
283,38.90984179,22.999371,12
286,38.00541989,24.28393865,62
288,38.06753249,24.29209267,18
290,38.0763127,24.28529512,12
294,39.52389717,20.16064476,16
296,38.0858469,24.27408155,31
299,38.08773732,24.21330929,28
302,38.25434717,24.12083289,55
304,38.25658143,24.10620622,64
307,38.26354846,24.10582414,36
308,38.26354846,24.10582415,10
309,38.31629446,24.10195797,24
310,38.3222841,24.08894901,34
316,38.31980949,24.08148073,24
318,38.32452746,24.07465663,19
320,38.31958314,24.05914884,13
322,39.52285959,20.16455104,44
326,38.32184427,24.05397749,30
327,38.32184427,24.0539775,9
329,38.32219715,24.04931935,18
330,38.32326537,24.04392593,12
332,38.32419669,24.03345568,4
335,38.35195641,24.05438996,21
338,38.36590083,24.04875578,34
341,38.3904317,23.97218114,8
343,38.38782776,23.96679551,44
346,38.38770657,23.95739879,46
348,38.64827556,23.45537487,0
350,39.49220759,20.24223641,30
353,38.69252462,23.40788202,18
354,39.95834183,23.98156149,22
360,40.21390275,23.76301146,15
362,40.55447313,23.88176693,10
364,39.49321406,20.23946377,26
369,39.02716582,26.53271448,16
371,38.46118057,26.15399982,16
372,38.47064739,26.15129976,16
375,38.46624987,26.14111918,30
379,38.47875055,26.13704826,6
380,38.48599154,26.1301122,19
381,38.48689762,26.13936611,25
384,38.49103812,26.14864556,15
386,38.50952589,26.15306422,16
388,39.49391089,20.23136877,18
390,38.52166153,26.15684915,21
394,38.29363216,25.92391943,15
395,38.50281777,26.26496692,10
397,38.49809383,26.26873752,15
401,38.49861149,26.27928418,12
403,38.49185563,26.28297682,28
404,38.37215118,20.6938332,6
410,38.34712671,20.74559103,21
414,38.40310584,20.6020578,73
416,38.20713938,20.47644055,28
419,39.4945217,20.22084183,22
424,38.23975126,20.45896173,32
427,35.47998448,24.11129329,10
430,37.91907322,24.69110369,34
431,35.28542771,26.2924741,14
432,37.11462137,24.50994569,26
433,37.60337712,26.55598751,10
436,37.19908553,26.79297715,9
440,37.19294961,26.79629855,24
444,37.19181158,26.80414747,15
445,37.20228365,26.7792998,16
448,37.19147933,26.76598484,14
451,37.18493868,26.77070436,19
453,39.79357852,19.90473944,9
455,37.11523223,26.82746996,14
458,36.96436413,27.04392429,48
462,36.96436413,27.0439243,22
464,36.96141224,27.03647019,8
466,36.95696729,27.04022939,8
467,36.95246573,27.04724737,0
469,36.94788368,27.03161358,6
471,36.94788368,27.03161359,40
472,36.60662277,26.39125939,16
478,36.59781746,26.39371486,15
481,36.25751484,27.77097415,19
485,36.24488013,27.77453321,11
487,38.96623179,20.78670628,28
490,36.63353512,27.82378515,17
491,36.63592965,27.83132055,2
495,37.47332361,26.9901156,12
498,38.9654631,20.79021434,14
505,38.95973871,20.80024777,24
508,38.95796893,20.80345811,26
512,38.95758627,20.80826166,56
514,38.95558477,20.8136411,28
515,38.95528734,20.82408082,16
518,38.96642773,20.82961288,32
520,38.99225673,20.79458392,24
521,39.03103165,21.1206087,30
525,39.02371459,21.12406274,18
527,39.01456761,21.13471006,15
529,38.91849909,21.03442027,13
533,38.92590035,21.02718992,24
537,38.94754418,20.92232574,36
538,38.95406559,20.85955286,12
539,38.94902141,20.85720106,24
541,38.94115755,20.85710308,32
545,38.94094698,20.85175071,19
549,38.93834354,20.84459229,10
552,38.67237433,20.92745618,52
555,38.60744174,20.8778794,52
556,38.61606833,21.01173841,9
561,38.60547659,21.01998203,64
562,38.55501921,21.0139813,14
565,38.55501921,21.01398131,21
568,38.54302654,21.01387473,19
570,38.48804211,21.02338332,38
572,38.48744497,21.03408907,14
576,38.48223367,21.03175982,43
578,38.49146046,21.08551272,15
580,38.49146046,21.08551273,1
581,38.48835792,21.08733672,25
582,38.48835792,21.08733673,2
583,38.48835792,21.08733674,2
584,38.48531237,21.09419809,47
585,38.48248743,21.07606582,10
588,38.47174999,21.05343017,46
591,38.46606991,21.05408627,12
592,38.46606991,21.05408628,11
593,38.46089452,21.06636678,43
597,38.46013306,21.097893,21
599,38.46013306,21.09789301,52
600,38.45762465,21.10098435,40
604,38.43549038,21.08594998,68
606,38.42119193,21.08118546,17
609,38.41177341,21.08104212,33
612,38.40424537,21.08944758,15
617,38.39783843,21.09766091,11
621,38.33048147,21.13282977,34
626,38.35134809,21.64886226,20
627,38.39364063,22.04124815,5
628,38.36949142,22.10047079,49
630,38.36762458,22.10852933,63
633,38.34285293,22.16517867,12
635,38.3445781,22.27091364,10
637,38.3445781,22.27091365,12
640,38.34099927,22.385209,31
642,38.35172871,22.38866224,3
644,38.35172871,22.38866225,27
649,38.36135918,22.39456761,12
651,38.41124714,22.39524774,20
653,38.31313207,22.60606602,8
654,38.35355233,22.60528146,22
658,38.33818595,22.67837068,12
661,38.24346698,22.76959008,15
664,38.22923913,22.80909762,22
667,38.192887,22.91397271,39
669,38.23251121,22.79106671,18
673,38.1872707,22.95323523,17
674,38.25715278,22.07675888,30
675,36.75160156,21.7024813,46
676,36.75731354,21.70599297,36
677,37.09146751,22.96601622,18
678,37.10065431,22.95804299,10
680,37.10560818,22.9575467,10
681,37.32236926,22.82341544,22
683,37.32344513,22.81802133,17
685,37.35057298,22.79962203,14
689,37.53008323,22.92231233,12
693,37.46418018,23.00864353,9
695,37.46418018,23.00864354,12
697,37.46910164,23.01559415,28
698,37.47153815,23.02598914,56
1046,40.56160804,8.27068004,8
1047,38.87528174,16.20091098,3
1048,38.17410502,14.95959119,3
1049,44.0069709,8.191651098,2
1051,41.24929809,16.54716026,24
1052,38.25342578,15.42988785,6
1053,40.62588971,14.7320516,4
1054,39.62206158,16.71858841,16
1055,40.54993411,14.84989452,4
1056,40.54418027,14.85024228,8
1057,40.55049297,14.84120103,3
1058,39.95542751,15.3820455,6
1061,38.86492947,16.20158393,1
1062,38.53559173,14.92829335,5
1063,44.03038095,9.818174527,8
1064,44.84121658,12.31320054,23
1068,40.98245096,9.636218271,21
1070,40.9240653,9.554845269,38
1073,39.40150085,9.612776174,63
1074,39.3466717,9.595499153,15
1075,39.33805699,9.596429335,49
1076,39.09924673,8.434933929,12
1081,37.08758438,13.94539092,19
1083,38.05176706,12.88025147,3
1084,38.08230589,13.02787011,5
1086,38.22295459,15.32330889,2
1091,36.7152509,15.14833168,12
1093,44.28678355,9.348626287,7
1095,45.76548492,13.59171458,15
1098,45.76548492,13.59171459,15
1100,41.06025021,17.09930708,2
1103,44.07344248,9.84316001,34
1105,43.06081133,9.839688836,1
1113,41.23330822,13.59022414,47
1117,38.72624479,16.0857204,4
1118,38.72624479,16.08572041,19
1121,39.68621374,16.54553938,4
1122,41.62269853,15.94664837,36
1123,41.72200968,16.10859577,41
1125,40.80226216,14.11670068,6
1127,40.74348504,14.01984397,2
1129,44.07673834,9.860701779,8
1130,43.0701007,9.843156017,2
1131,40.9805192,9.623861086,6
1132,40.65099282,14.75925072,18
1133,38.3604303,15.79884159,12
1134,38.1716178,14.97594216,10
1135,38.17010157,14.96625313,3
1136,37.63595899,12.55623359,10
1137,37.30631793,15.19436458,8
1138,39.62622772,16.7058765,5
1139,40.25083784,17.867767,4
1140,40.20745511,17.89925865,4
1141,40.44704864,18.26638719,6
1142,41.19520228,16.6802583,8
1143,42.46883792,14.25193626,1
1144,40.90283729,12.97100859,3
1145,39.95040316,16.66956576,8
1146,41.4231025,12.61531129,4
1147,42.38741721,11.24287547,1
1229,42.56587409,8.780700527,18
1234,43.09782711,5.909554394,22
1235,43.08568077,5.905947023,56
1266,43.08902962,5.904914118,50
1278,43.65644051,7.169609525,26
1280,43.27054957,5.301908325,21
1283,43.48320346,6.937040498,32
1286,43.54922563,7.062751373,46
1289,43.55460151,7.115240237,19
1293,43.08596877,5.920329054,7
1294,43.41174718,6.777742886,20
1296,43.50720558,6.949620387,20
1297,43.52345883,7.057460635,18
1298,44.04041682,15.18007197,5
1299,42.92104785,17.50050473,1
1301,42.91105104,17.49295726,28
1304,44.02431627,15.21982199,24
1305,45.02599089,14.35359824,8
1307,44.02735926,15.21460809,16
1308,44.03219988,15.22457069,20
1310,44.0381656,15.21706251,12
1311,43.83928187,15.51057497,9
1315,43.83239919,15.498476,8
1317,43.39102351,16.21030797,4
1321,42.92319102,17.47480054,14
1323,42.9176632,17.49096466,29
1327,45.1351763,13.69412866,3
1329,44.89410668,13.98902,4
1330,44.4384435,14.99944939,9
1331,44.00458803,15.2666423,32
1334,43.47729119,16.17391415,7
1335,43.28855679,16.48392687,2
1340,43.30228536,16.4667008,17
1342,43.28149705,16.49718725,10
1345,44.02126855,15.11348971,7
1349,44.03652364,15.10001814,15
1351,44.0636423,15.0733237,6
1355,44.04484485,15.12101702,72
1356,44.00376758,15.06167984,1
1357,43.89233985,15.40307932,20
1359,43.88689487,15.42234823,6
1362,43.50941512,15.96227705,81
1365,43.46493919,16.10098374,2
1366,43.35139075,16.37367966,5
1367,42.74441259,17.6014338,10
1385,40.33677937,19.41517945,4
1386,40.33989322,19.41004095,4
1387,40.33989322,19.41004096,4
1389,40.34638156,19.40823504,17
1390,40.35122693,19.40934923,20
1393,40.35716552,19.4076224,6
1394,40.36163891,19.40870698,3
1395,40.37492557,19.40532481,3
1398,40.05460396,19.80011055,4
1403,39.78332465,20.03112,1496
1405,39.69999426,19.9829774,7
1407,39.7910233,20.00240668,16
1410,39.6893458,19.99835948,19
1412,39.69205743,20.00636495,2
1414,39.69205743,20.00636496,1
1417,42.91606283,17.61475426,26
1419,42.93189957,17.5672704,20
1421,42.30946643,18.35587274,8
1422,42.47511825,18.76322955,20
1424,45.49068899,13.57948754,16
1425,45.48746524,13.58157063,10
1427,35.95095883,14.39043011,1
1428,35.96495925,14.40747462,17
1431,35.82815008,14.54227279,5
1433,35.83574121,14.57975682,9
1435,35.81465194,14.54349493,4
1436,35.98166041,14.37262595,4
1438,36.00051756,14.33058754,8
1440,35.97557432,14.42232538,12
1442,35.95596319,14.3956103,10
1443,31.83268749,34.63713035,18
1445,32.18575055,23.30422718,2
1446,32.82302682,13.71934533,5
1447,32.68184115,14.25485676,6
1449,32.91624049,22.21147581,4
1452,35.41434539,11.08127672,9
1453,35.45808142,11.10064334,9
1455,33.48340919,11.12771386,54
1456,36.04056112,10.5134115,6
